Episode,Average Win Num,Average Survival Time,Average Speed
0,0.0,51.2,12.700609
1,1.0,39.4,7.681521
2,0.0,61.4,15.017389
3,0.0,45.0,10.555536
4,0.0,62.2,15.174367
5,0.0,45.0,11.209172
6,0.0,63.2,15.509939
7,0.0,69.0,15.923136
0,0.0,67.0,24.235546
1,0.0,31.4,23.677797
2,0.0,56.4,24.35916
3,1.0,34.8,23.376648
4,0.0,49.0,25.076517
5,0.0,55.6,23.983265
6,0.0,60.8,24.93121
7,0.0,45.0,24.474125
0,0.0,45.8,17.405697
1,0.0,61.2,19.81832
2,0.0,60.2,20.078215
3,0.0,51.2,17.45718
4,0.0,44.8,17.245377
5,0.0,53.6,18.81986
6,0.0,56.8,19.6023
7,1.0,45.8,15.693085
0,0.0,55.2,24.314075
1,0.0,59.2,24.310093
2,0.0,35.8,23.331017
3,0.0,57.8,24.67479
4,0.0,64.4,24.56919
5,1.0,28.0,20.992321
6,0.0,44.8,24.46381
7,0.0,60.4,24.650059
0,1.0,43.0,8.21697
1,0.0,54.8,12.647507
2,0.0,56.8,13.534103
3,0.0,72.8,16.683422
4,0.0,52.8,13.082415
5,0.0,59.4,14.190653
6,0.0,58.8,14.380762
7,0.0,54.8,12.316438
0,0.0,62.4,13.999441
1,0.0,65.0,13.310559
2,1.0,54.2,9.854459
3,0.0,57.4,13.015898
4,0.0,44.6,8.108052
5,0.0,56.4,11.6911335
6,0.0,61.0,13.810457
7,0.0,54.0,11.206798
0,1.0,31.2,10.886656
1,0.0,51.6,19.287827
2,0.0,69.2,21.408678
3,0.0,57.2,18.490015
4,0.0,53.6,19.977201
5,0.0,61.8,20.186459
6,0.0,51.8,19.647034
7,0.0,56.0,18.821644
0,1.0,47.0,23.849792
1,1.0,27.0,23.249155
2,0.0,54.0,24.20361
3,0.0,46.0,24.843914
4,1.0,25.2,22.503326
5,1.0,30.6,22.602045
6,0.0,55.8,24.450777
7,1.0,50.6,23.68761
0,0.0,54.6,12.013047
1,0.0,56.2,13.372553
2,0.0,55.8,13.290034
3,0.0,69.6,15.730448
4,0.0,58.2,13.946188
5,1.0,51.2,10.314349
6,0.0,62.4,14.975134
7,0.0,57.6,13.123848
0,0.0,45.6,23.571186
1,0.0,37.6,23.982878
2,0.0,52.0,24.70071
3,0.0,55.4,24.308975
4,1.0,39.4,23.410877
5,0.0,44.8,24.463873
6,0.0,33.8,23.869488
7,0.0,47.2,24.675854
0,0.0,71.4,10.286154
1,1.0,57.6,6.3270974
2,0.0,72.2,10.263788
3,0.0,71.6,9.700372
4,0.0,69.8,9.973028
5,0.0,59.4,7.140105
6,0.0,64.0,8.424724
7,0.0,74.0,11.071135
0,0.0,47.0,24.400602
1,0.0,56.2,23.680721
2,1.0,44.6,23.221855
3,0.0,45.6,23.5607
4,0.0,37.2,23.571026
5,0.0,41.4,23.856289
6,0.0,34.4,24.333467
7,0.0,61.8,24.603874
0,0.0,37.2,23.45564
1,0.0,58.6,24.376444
2,0.0,37.8,24.499273
3,1.0,27.0,21.362478
4,0.0,43.4,24.015722
5,1.0,26.8,20.059021
6,0.0,38.8,24.718163
7,0.0,54.4,24.87778
0,0.0,47.4,24.742167
1,1.0,31.0,22.504648
2,0.0,45.8,24.402065
3,0.0,45.2,23.954447
4,1.0,30.4,22.002323
5,0.0,47.6,24.318722
6,0.0,49.2,24.843876
7,1.0,28.0,21.031551
0,0.0,40.6,24.48518
1,0.0,31.2,22.975437
2,1.0,29.0,24.473637
3,0.0,34.0,24.243587
4,0.0,49.0,24.67454
5,0.0,61.4,24.605686
6,0.0,49.0,24.741468
7,1.0,32.0,23.165096
0,0.0,40.8,24.756342
1,0.0,58.4,24.821438
2,0.0,39.4,24.518864
3,0.0,55.4,24.370184
4,1.0,40.0,25.381779
5,0.0,37.4,23.681866
6,1.0,30.2,22.219841
7,0.0,55.2,24.373007
0,0.0,39.8,22.501865
1,1.0,49.6,23.109308
2,0.0,43.6,23.502308
3,0.0,48.6,24.24577
4,0.0,32.0,22.788504
5,0.0,57.2,24.153996
6,1.0,30.0,24.33021
7,0.0,55.0,24.308382
0,0.0,37.8,24.644705
1,0.0,59.0,24.03668
2,0.0,47.8,24.498936
3,0.0,50.4,24.477377
4,0.0,53.0,24.645021
5,0.0,34.0,24.19174
6,0.0,43.2,23.953121
7,1.0,27.8,19.23355
0,0.0,54.2,24.456318
1,1.0,38.4,23.080124
2,0.0,68.0,24.079838
3,2.0,43.0,21.880892
4,0.0,55.0,24.376423
5,0.0,38.4,24.163107
6,0.0,42.2,23.541859
7,0.0,57.0,23.486065
0,0.0,52.8,24.003002
1,0.0,52.0,24.230017
2,0.0,52.8,24.309202
3,0.0,48.2,23.470623
4,0.0,45.2,24.552746
5,1.0,27.4,21.245205
6,0.0,43.0,23.754915
7,0.0,52.8,24.7224
0,0.0,67.2,8.89176
1,0.0,71.8,8.990793
2,0.0,69.6,8.611064
3,1.0,62.0,6.4005523
4,0.0,70.2,8.976718
5,0.0,73.6,9.569479
6,0.0,74.0,9.8467655
7,0.0,73.4,9.787828
0,0.0,61.4,24.409464
1,1.0,50.0,22.125828
2,0.0,55.2,24.592178
3,1.0,33.4,23.19577
4,0.0,55.0,24.399242
5,1.0,35.0,23.127441
6,0.0,48.4,24.733074
7,1.0,47.6,22.895336
0,1.0,29.8,21.372995
1,0.0,30.0,23.195782
2,0.0,36.2,24.581194
3,1.0,48.2,22.787601
4,0.0,52.0,24.348385
5,1.0,29.8,22.69778
6,0.0,43.8,24.098566
7,0.0,52.4,24.278055
0,1.0,29.2,25.618183
1,0.0,49.8,23.131907
2,1.0,23.0,21.804367
3,0.0,29.6,23.91694
4,0.0,48.6,24.460396
5,0.0,56.0,24.247849
6,0.0,27.8,24.266964
7,1.0,38.2,25.371826
0,0.0,43.0,23.643261
1,0.0,46.2,24.383755
2,0.0,60.4,24.556297
3,0.0,49.0,23.945477
4,0.0,35.8,24.241955
5,1.0,30.2,22.143776
6,0.0,55.8,24.651865
7,0.0,43.2,23.873413
0,0.0,51.8,24.639143
1,0.0,44.2,24.441372
2,0.0,46.0,24.28747
3,1.0,27.0,22.050743
4,0.0,32.4,23.724295
5,1.0,25.2,22.0821
6,0.0,46.4,24.323816
7,0.0,30.6,23.309818
0,0.0,33.2,24.857605
1,0.0,55.0,24.981047
2,0.0,51.6,24.139835
3,1.0,25.8,24.351871
4,0.0,45.0,23.52968
5,0.0,51.2,24.33923
6,0.0,34.6,22.80979
7,1.0,37.8,22.563538
0,0.0,39.8,22.420578
1,0.0,48.0,22.927214
2,0.0,35.8,21.574215
3,0.0,66.8,23.496088
4,0.0,40.6,21.997356
5,0.0,56.6,21.93566
6,0.0,50.8,22.36382
7,1.0,34.8,20.041052
0,0.0,58.4,24.661535
1,1.0,28.0,25.209587
2,0.0,41.8,24.07789
3,1.0,39.8,22.913435
4,0.0,46.8,23.645594
5,0.0,54.8,23.76424
6,1.0,49.6,23.293896
7,0.0,38.2,23.441593
0,0.0,43.4,25.699362
1,1.0,36.4,23.782648
2,0.0,46.8,24.976048
3,1.0,26.0,22.672468
4,0.0,52.4,24.05992
5,0.0,34.6,23.020493
6,0.0,47.2,24.218746
7,0.0,50.6,24.423489
0,0.0,50.2,24.284985
1,0.0,50.8,23.88967
2,0.0,45.4,24.55461
3,0.0,53.8,24.075138
4,1.0,30.4,23.615374
5,0.0,32.4,24.880177
6,1.0,29.2,23.11335
7,0.0,41.0,23.263918
0,1.0,45.8,11.610353
1,0.0,56.8,15.8942795
2,0.0,49.6,13.240114
3,0.0,57.8,14.777751
4,0.0,45.2,11.069708
5,0.0,56.2,14.593038
6,0.0,48.0,12.763171
7,0.0,63.8,16.388365
0,2.0,42.6,23.1504
1,0.0,37.2,24.152966
2,0.0,44.2,24.206339
3,1.0,37.6,23.077599
4,0.0,48.4,24.832159
5,1.0,38.2,23.05435
6,2.0,54.0,24.748165
7,0.0,59.2,24.432713
0,0.0,58.2,23.038204
1,0.0,45.8,22.6466
2,0.0,60.8,23.68739
3,0.0,59.0,22.13394
4,1.0,38.2,21.89223
5,0.0,48.2,22.921148
6,0.0,50.4,22.623571
7,0.0,46.8,22.918255
0,0.0,37.0,22.264141
1,0.0,47.4,24.239162
2,0.0,39.8,23.96346
3,0.0,38.6,24.379572
4,0.0,57.8,24.694063
5,1.0,38.2,22.971691
6,1.0,25.4,22.540167
7,0.0,30.6,23.414469
0,0.0,43.4,22.165539
1,0.0,65.0,23.5808
2,1.0,32.0,22.807194
3,0.0,35.8,21.427511
4,0.0,41.6,22.542364
5,0.0,43.8,23.31187
6,0.0,52.6,24.259838
7,0.0,48.0,23.757215
0,0.0,59.2,16.69129
1,0.0,56.8,16.908474
2,0.0,48.2,15.318647
3,0.0,56.2,16.822681
4,0.0,50.0,16.558573
5,1.0,45.0,12.847799
6,0.0,69.2,17.877851
7,0.0,54.2,15.866371
0,0.0,30.2,23.658518
1,0.0,79.6,24.835253
2,1.0,35.6,22.722433
3,0.0,48.8,24.301823
4,0.0,54.6,24.30416
5,0.0,33.8,23.622036
6,0.0,44.2,25.109657
7,1.0,28.4,21.854961
0,0.0,35.2,23.162102
1,0.0,58.8,24.01066
2,0.0,43.2,24.408756
3,1.0,39.2,22.102583
4,0.0,43.6,24.036385
5,0.0,36.0,23.44663
6,0.0,56.8,24.334858
7,1.0,28.2,22.880182
0,0.0,34.8,23.599989
1,0.0,59.2,24.697596
2,0.0,53.6,24.514246
3,0.0,35.4,23.85449
4,0.0,48.0,24.004698
5,0.0,26.2,22.729849
6,1.0,25.6,21.116005
7,1.0,41.4,24.423191
0,0.0,37.8,23.73005
1,0.0,56.8,24.259373
2,1.0,38.6,24.141798
3,0.0,51.8,24.09194
4,0.0,42.2,24.066792
5,1.0,33.2,24.607487
6,0.0,51.6,23.69749
7,0.0,36.8,24.40369
0,1.0,22.2,19.57808
1,0.0,49.0,24.496864
2,0.0,43.8,24.04335
3,0.0,40.0,23.619467
4,0.0,39.4,22.36127
5,0.0,51.2,24.72074
6,0.0,45.4,24.707455
7,0.0,48.6,24.390087
0,0.0,34.4,24.190844
1,2.0,52.0,23.542524
2,0.0,44.4,23.422253
3,1.0,46.0,24.46506
4,0.0,49.4,24.803793
5,0.0,54.8,23.70274
6,0.0,42.6,23.717205
7,0.0,33.2,24.119345
0,0.0,42.0,24.396793
1,0.0,36.8,23.573713
2,1.0,25.4,23.19418
3,0.0,60.8,24.487047
4,0.0,47.4,24.310581
5,0.0,36.8,22.79265
6,0.0,45.6,24.048534
7,0.0,54.0,24.866634
0,1.0,60.4,6.835305
1,0.0,69.0,10.215054
2,0.0,65.8,9.02126
3,0.0,67.8,9.363998
4,0.0,62.8,8.5513525
5,0.0,66.8,8.850444
6,0.0,65.4,8.696703
7,0.0,69.0,9.519846
0,0.0,31.6,23.63765
1,1.0,33.8,22.523872
2,0.0,36.2,22.781477
3,1.0,28.8,22.346954
4,0.0,50.4,23.339117
5,0.0,65.0,24.495747
6,1.0,41.8,22.971878
7,0.0,34.4,23.345812
0,0.0,53.2,24.651941
1,0.0,29.8,21.77956
2,0.0,38.2,24.221348
3,0.0,41.0,23.3759
4,0.0,64.8,24.908215
5,0.0,78.8,24.748856
6,1.0,43.2,22.890865
7,0.0,54.0,24.812656
0,0.0,57.2,24.697744
1,0.0,51.6,24.295502
2,1.0,30.0,21.106085
3,0.0,51.6,24.13712
4,0.0,48.0,24.233906
5,0.0,46.2,23.346863
6,0.0,43.2,24.2111
7,0.0,48.4,24.20229
0,0.0,58.2,23.977531
1,0.0,65.0,24.653402
2,1.0,26.6,22.154816
3,0.0,37.2,24.349445
4,0.0,39.8,23.165932
5,0.0,48.0,24.393452
6,0.0,45.2,24.384598
7,0.0,41.6,24.048954
0,0.0,38.4,24.582745
1,0.0,62.8,24.250788
2,0.0,57.8,24.62922
3,0.0,49.6,24.005209
4,0.0,43.2,23.69824
5,0.0,60.2,24.819561
6,1.0,34.6,22.389286
7,0.0,56.8,24.744678
0,0.0,40.0,23.598085
1,0.0,31.0,23.670376
2,1.0,45.6,23.391418
3,0.0,47.6,23.427298
4,0.0,41.0,23.963575
5,0.0,73.0,24.233395
6,0.0,57.4,23.820614
7,0.0,40.2,24.206934
0,0.0,49.4,24.274813
1,0.0,60.2,24.445757
2,0.0,56.4,23.396986
3,1.0,41.8,23.435726
4,0.0,63.4,24.820429
5,0.0,53.4,24.042257
6,0.0,42.4,24.478275
7,0.0,47.6,24.656248
0,0.0,38.2,23.629873
1,1.0,25.4,23.41078
2,0.0,30.8,23.55518
3,0.0,45.8,24.732239
4,0.0,44.0,23.462978
5,0.0,53.8,24.171486
6,1.0,25.2,22.008736
7,1.0,41.4,22.904675
0,0.0,70.6,24.639933
1,0.0,56.0,24.960901
2,1.0,33.0,21.799395
3,0.0,49.0,24.320133
4,0.0,34.2,24.434553
5,0.0,57.8,24.28057
6,0.0,60.8,23.939333
7,1.0,37.8,23.271046
0,0.0,41.8,24.656097
1,0.0,57.8,24.997204
2,1.0,29.4,23.297207
3,0.0,48.2,24.930141
4,1.0,32.2,24.875092
5,0.0,50.2,24.183556
6,0.0,37.8,23.643852
7,1.0,31.2,20.487295
0,0.0,46.2,23.582628
1,0.0,53.2,22.983139
2,0.0,61.2,24.126137
3,0.0,56.2,24.56864
4,1.0,36.0,23.401623
5,1.0,25.0,23.164719
6,0.0,38.6,22.430677
7,0.0,46.6,23.998173
0,0.0,43.8,23.264568
1,0.0,32.6,23.593464
2,0.0,57.8,24.542618
3,0.0,51.0,24.716337
4,1.0,36.0,23.592747
5,0.0,59.0,24.774044
6,0.0,29.8,22.755577
7,0.0,31.0,24.051073
0,0.0,46.4,24.208366
1,0.0,49.6,24.312878
2,0.0,63.2,22.847769
3,0.0,47.2,24.697853
4,0.0,49.8,23.780798
5,1.0,34.6,23.33139
6,1.0,28.2,19.664957
7,1.0,26.2,22.640896
0,1.0,44.6,23.8614
1,0.0,53.6,24.001513
2,0.0,48.2,23.28114
3,1.0,42.2,23.135805
4,0.0,42.0,24.327084
5,1.0,37.6,21.909182
6,0.0,40.8,23.42761
7,0.0,49.2,24.596561
0,1.0,33.6,23.556623
1,0.0,43.8,23.338982
2,0.0,65.0,23.940563
3,0.0,43.6,24.275751
4,0.0,48.4,23.52924
5,0.0,42.2,24.0212
6,1.0,49.0,20.859434
7,1.0,39.6,24.13023
0,0.0,49.2,23.997616
1,0.0,34.4,24.026897
2,0.0,57.6,24.533985
3,1.0,25.0,24.064571
4,0.0,65.2,24.631924
5,1.0,26.6,22.013409
6,0.0,51.6,24.329372
7,0.0,67.8,24.35577
0,0.0,77.6,8.127807
1,0.0,68.0,5.8318563
2,0.0,73.8,7.2538505
3,1.0,80.2,8.398432
4,0.0,69.8,6.5547333
5,0.0,74.4,7.5948324
6,0.0,76.2,8.082978
7,0.0,74.0,7.68624
0,0.0,49.2,24.064255
1,0.0,44.6,24.001577
2,1.0,28.4,22.981155
3,0.0,38.0,23.947346
4,1.0,32.2,23.26334
5,0.0,31.4,23.911724
6,0.0,37.6,23.217976
7,1.0,26.4,23.007296
0,0.0,53.0,24.799587
1,0.0,56.0,24.004831
2,1.0,30.8,24.111603
3,0.0,58.6,24.152864
4,1.0,27.2,22.601498
5,0.0,50.0,24.565607
6,0.0,54.0,24.727459
7,0.0,48.6,23.623055
0,0.0,32.2,23.411436
1,0.0,36.6,23.485489
2,1.0,45.2,23.410091
3,0.0,55.0,22.883778
4,1.0,35.0,19.905497
5,0.0,40.8,23.981913
6,0.0,65.0,24.331217
7,1.0,26.0,21.985104
0,1.0,32.8,21.489914
1,0.0,45.0,23.752811
2,0.0,46.6,24.06509
3,1.0,25.6,22.39782
4,0.0,50.4,23.740002
5,1.0,32.6,22.845726
6,0.0,48.6,24.750237
7,0.0,58.2,24.33959
0,0.0,52.0,23.526398
1,0.0,59.6,24.803324
2,1.0,22.2,20.064987
3,0.0,53.6,24.078907
4,0.0,37.8,24.436474
5,0.0,56.0,24.716122
6,2.0,46.0,22.036716
7,0.0,44.6,23.325138
0,0.0,44.4,24.661823
1,0.0,36.0,23.679798
2,0.0,44.8,23.567097
3,0.0,44.2,24.107042
4,1.0,33.6,18.067663
5,1.0,40.0,22.701403
6,0.0,60.8,24.653366
7,0.0,48.4,24.576899
0,1.0,25.2,22.216105
1,1.0,39.8,23.541508
2,0.0,37.8,23.158306
3,0.0,58.4,23.800678
4,1.0,27.6,22.952204
5,1.0,46.0,24.099194
6,0.0,57.2,24.818624
7,0.0,28.8,23.38258
0,1.0,34.4,22.665535
1,0.0,41.4,23.703133
2,0.0,35.0,24.44922
3,0.0,49.8,23.487732
4,0.0,39.8,24.014526
5,1.0,36.8,23.631264
6,1.0,31.2,20.602396
7,0.0,48.4,23.723873
0,0.0,55.6,24.091345
1,0.0,47.8,24.167622
2,0.0,33.0,23.950165
3,0.0,53.4,24.344986
4,2.0,50.8,22.374577
5,0.0,48.2,23.665112
6,1.0,40.8,23.848658
7,0.0,58.2,24.128351
0,0.0,36.8,23.91906
1,0.0,46.8,23.836046
2,0.0,58.0,24.32404
3,0.0,58.0,23.332397
4,1.0,46.8,23.702465
5,0.0,43.0,23.784977
6,0.0,57.6,23.958485
7,0.0,37.6,23.095373
0,1.0,26.0,22.151154
1,0.0,53.0,23.920603
2,1.0,30.6,22.982317
3,1.0,26.0,23.507927
4,0.0,43.8,23.73518
5,0.0,65.2,24.417147
6,0.0,43.4,24.565228
7,0.0,40.2,24.158596
0,0.0,26.0,22.974495
1,0.0,45.4,24.251438
2,1.0,33.8,23.720476
3,0.0,51.8,24.634726
4,2.0,45.4,21.440693
5,1.0,39.6,22.92622
6,0.0,51.4,23.225328
7,0.0,40.6,24.051626
0,0.0,36.0,23.439783
1,0.0,33.4,22.98955
2,1.0,31.6,21.928572
3,0.0,45.0,23.431583
4,1.0,56.6,23.228006
5,2.0,48.4,20.779099
6,0.0,47.4,23.833416
7,1.0,44.6,21.898184
